P4,O2,P8,T8,C4,Cz,Fz,F4,Fp2,F8,Fp1,F7,F3,C3,T7,P7,P3,O1,Pz
18.95404989,8.159371175,-1.053550348,-4.520966789,-1.056224948,4.366187061,-4.325030458,-10.36786564,-5.693522182,-3.118069565,-0.899719163,-18.09083892,-10.37442469,-1.532679945,-6.427425261,-1.944234052,13.65907453,22.73637778,66.25633847
33.75279907,17.15704239,7.11496954,2.730500935,5.861329876,7.761511909,-14.95615793,-15.75760671,-10.33937983,-0.404044336,-12.54055569,-20.98443802,-17.04717535,-0.877994888,-8.681414552,-0.669381388,22.63863675,30.95732711,79.8976893
49.22724124,28.34476618,17.80985496,12.17228754,13.54143981,10.31120118,-25.43130098,-18.09793432,-14.27859273,5.624031152,-21.68882673,-19.82999517,-21.41038968,-0.293432975,-9.515646144,1.464023975,30.69852518,39.83146285,92.60233754
62.13539493,39.54201863,28.86021576,20.54181115,20.59838769,11.62117391,-30.3409441,-17.36733318,-17.07348212,10.31939362,-25.98666154,-16.59986476,-23.11634553,0.712673609,-8.495155657,4.236347073,36.81498107,47.22046578,101.769065
69.09937108,46.97759604,37.08698919,24.65714793,25.2513277,11.60408082,-27.3737555,-14.67843698,-18.22910091,10.34277799,-24.82915839,-13.01295477,-22.16444339,2.319558491,-5.474415906,6.813837894,39.69341512,50.47538736,104.8398392
67.77135438,47.16583212,39.32965973,23.03497501,25.9367601,10.31295955,-19.09726159,-11.50330236,-17.14382244,5.717562459,-19.29453407,-9.951305046,-18.841373,3.916052337,-1.040725028,7.867785358,37.91165274,47.65366111,100.267999
57.54960712,38.64497588,33.62075587,16.4081595,21.98918848,7.800171564,-10.72341561,-8.757414829,-13.59758114,-0.957165398,-11.49517669,-7.406229739,-13.69741807,4.2667953,3.25250287,6.049245482,30.41565571,38.38125892,88.09258757
39.72850135,22.56898918,20.07718042,6.939927152,14.01932806,4.177613086,-5.979787471,-6.436223279,-8.40007959,-7.031428304,-3.771168082,-4.831722117,-7.546569712,2.322946042,5.325000542,0.722954578,17.28663439,24.01197525,69.94695598
17.23554745,2.069511885,1.143361269,-3.113429458,3.776091586,-0.168768218,-4.681456795,-4.044651134,-3.391308407,-11.56391158,2.029084119,-1.753520768,-1.419216585,-1.887954199,3.675312386,-7.417484725,0.345084463,7.190078576,48.65938828
-5.917391168,-18.94334704,-19.00044379,-12.26602542,-6.445170323,-4.44998159,-3.862312239,-1.407046902,-0.425945363,-14.8029261,5.085542834,1.614591148,3.609005849,-6.99696983,-1.490011402,-16.31770958,-16.9603205,-8.868409031,27.67889165
-25.47832839,-36.82544576,-35.7584377,-19.73938062,-14.56413841,-7.644871082,-1.108498183,0.861487111,0.018198489,-16.27606665,5.825548451,4.1408298,6.708842271,-10.93204095,-7.986479233,-23.30093473,-30.60435797,-21.14418506,10.42064189
-38.06211198,-48.85218369,-45.71545842,-24.88545206,-19.31380383,-8.943899819,3.046659962,1.645332392,-0.636952278,-13.87703729,5.625177299,4.265379138,7.585720296,-12.06976348,-12.65270477,-26.2535041,-37.57872096,-27.54596667,-0.474335111
-42.21291347,-53.65262434,-47.82741084,-26.90045162,-20.4657744,-8.18215952,5.701113158,0.155961812,-0.135110973,-5.43380307,5.962870502,1.109319909,6.581615931,-10.12217941,-13.12082136,-24.57177964,-37.15666886,-27.50519831,-3.861658883
